headline,abstract,timebegin,timeend,placename,tags,imageurl,storyurl
Louis Armstrong,"Louis Armstrong was the first important soloist to emerge in jazz, and he became the most influential musician in the music's history. As a trumpet virtuoso, his playing, beginning with the 1920s studio recordings made with his Hot Five and Hot Seven ensembles, charted a future for jazz in highly imaginative, emotionally charged improvisation. For this, he is revered by jazz fans. But Armstrong also became an enduring figure in popular music, due to his distinctively phrased bass singing and engaging personality, which were on display in a series of vocal recordings and film roles.","August 4, 1901","July 6, 1971","New Orleans, LA","Dixieland, Early Jazz, New Orleans Jazz, Vocal Jazz, Vocal, Swing, Traditional Pop, Jazz Instrument, Trumpet Jazz",http://image.allmusic.com/00/amg/pic200/drP000/P007/P00735M9K4C.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kcftxqq5ld0e~T1
Count Basie,"Count Basie was among the most important bandleaders of the swing era. With the exception of a brief period in the early '50s, he led a big band from 1935 until his death almost 50 years later, and the band continued to perform after he died. Basie's orchestra was characterized by a light, swinging rhythm section that he led from the piano, lively ensemble work, and generous soloing. Basie was not a composer like Duke Ellington or an important soloist like Benny Goodman. His instrument was his band, which was considered the epitome of swing and became broadly influential on jazz.","August 21, 1904","April 26, 1984","Red Bank, NJ","Big Band, Blues, Piano Blues, Swing",http://image.allmusic.com/00/amg/pic200/drp000/p028/p02821de8u7.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:fifuxqt5ld6e~T1
John Coltrane,"Despite a relatively brief career (he first came to notice as a sideman at age 29 in 1955, formally launched a solo career at 33 in 1960, and was dead at 40 in 1967), saxophonist John Coltrane was among the most important, and most controversial, figures in jazz. It seems amazing that his period of greatest activity was so short, not only because he recorded prolifically, but also because, taking advantage of his fame, the record companies that recorded him as a sideman in the 1950s frequently reissued those recordings under his name and there has been a wealth of posthumously released material as well. Since Coltrane was a protean player who changed his style radically over the course of his career, this has made for much confusion in his discography and in appreciations of his playing. There remains a critical divide between the adherents of his earlier, more conventional (if still highly imaginative) work and his later, more experimental work. No one, however, questions Coltrane's almost religious commitment to jazz or doubts his significance in the history of the music.","September 23, 1926","July 17, 1967","Hamlet, NC","Post-Bop, Hard Bop, Free Jazz, Modal Music, Avant-Garde Jazz, Jazz Instrument, Saxophone Jazz",http://image.allmusic.com/00/amg/pic200/drp500/p541/p54116axkej.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:dvftxqr5ldfe~T1
Cannonball Adderley,"One of the great alto saxophonists, Cannonball Adderley had an exuberant and happy sound that communicated immediately to listeners. His intelligent presentation of his music (often explaining what he and his musicians were going to play) helped make him one of the most popular of all jazzmen.","September 15, 1928","August 8, 1975†","Tampa, FL","Soul Jazz, Hard Bop, Jazz Instrument, Saxophone Jazz",http://image.allmusic.com/00/amg/pic200/drp500/p506/p50624pshwb.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:difixqr5ldte~T1
Mose Allison,"Not unlike his namesake, Luther Allison, pianist Mose Allison has suffered from a ""categorization problem,"" given his equally brilliant career. Although his boogie-woogie and bebop-laden piano style is innovative and fresh sounding when it comes to blues and jazz, it is as a songwriter that Allison really shines. Allison's songs have been recorded by the Who (""Young Man Blues""), Leon Russell (""I'm Smashed""), and Bonnie Raitt (""Everybody's Cryin' Mercy""). Other admirers include Tom Waits, John Mayall, Georgie Fame, the Rolling Stones, and Van Morrison. But because he's always played both blues and jazz, and not one to the exclusion of the other, his career has suffered. As he himself admits, he has a ""category"" problem that lingers to this day. ""There's a lot of places I don't work because they're confused about what I do,"" he explained in a 1990 interview in Goldmine magazine. Despite the lingering confusion, Allison remains one of the finest songwriters in 20th century blues. ","November 11, 1927",,"Tippo, MS","Hard Bop, Jazz Blues, Vocal Jazz, Blues, Piano Blues",http://image.allmusic.com/00/amg/pic200/drp000/p031/p03140w88h5.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:hifpxqt5ld6e~T1
Chet Baker,"Chet Baker was a primary exponent of the West Coast school of cool jazz in the early and mid-'50s. As a trumpeter, he had a generally restrained, intimate playing style and he attracted attention beyond jazz for his photogenic looks and singing. But his career was marred by drug addiction.","December 23, 1929","May 13, 1988","Yale, OK","Cool, West Coast Jazz, Vocal Jazz, Jazz Instrument, Trumpet Jazz",http://image.allmusic.com/00/amg/pic200/drp400/p474/p47430mqrie.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:wifrxqt5ld6e~T1
Art Blakey,"In the '60s, when John Coltrane and Ornette Coleman were defining the concept of a jazz avant-garde, few knowledgeable observers would have guessed that in another 30 years the music's mainstream would virtually bypass their innovations, in favor of the hard bop style that free jazz had apparently supplanted. As it turned out, many listeners who had come to love jazz as a sophisticated manifestation of popular music were unable to accept the extreme esotericism of the avant-garde; their tastes were rooted in the core elements of ""swing"" and ""blues,"" characteristics found in abundance in the music of the Jazz Messengers, the quintessential hard bop ensemble led by drummer Art Blakey. In the '60s, '70s, and '80s, when artists on the cutting edge were attempting to transform the music, Blakey continued to play in more or less the same bag he had since the '40s, when his cohorts included the likes of Charlie Parker, Miles Davis, and Fats Navarro. By the '80s, the evolving mainstream consensus had reached a point of overwhelming approval in regard to hard bop: this is what jazz is, and Art Blakey -- as its longest-lived and most eloquent exponent -- was its master.","October 11, 1919","October 16, 1990","Pittsburgh, PA","Hard Bop, Bop",http://image.allmusic.com/00/amg/pic200/drp400/p490/p49020ccteg.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:dcfoxqy5ldhe~T1
Anthony Braxton,"Genius is a rare commodity in any art form, but at the end of the 20th century it seemed all but non-existent in jazz, a music that had ceased looking ahead and begun swallowing its tail. If it seemed like the music had run out of ideas, it might be because Anthony Braxton covered just about every conceivable area of creativity during the course of his extraordinary career. The multi-reedist/composer might very well be jazz's last bona fide genius. Braxton began with jazz's essential rhythmic and textural elements, combining them with all manner of experimental compositional techniques, from graphic and non-specific notation to serialism and multimedia. Even at the peak of his renown in the mid- to late '70s, Braxton was a controversial figure amongst musicians and critics. His self-invented (yet heavily theoretical) approach to playing and composing jazz seemed to have as much in common with late 20th century classical music as it did jazz, and therefore alienated those who considered jazz at a full remove from European idioms. Although Braxton exhibited a genuine ó if highly idiosyncratic ó ability to play older forms (influenced especially by saxophonists Warne Marsh, John Coltrane, Paul Desmond, and Eric Dolphy), he was never really accepted by the jazz establishment, due to his manifest infatuation with the practices of such non-jazz artists as John Cage and Karlheinz Stockhausen. Many of the mainstream's most popular musicians (Wynton Marsalis among them) insisted that Braxton's music was not jazz at all. Whatever one calls it, however, there is no questioning the originality of his vision; Anthony Braxton created music of enormous sophistication and passion that was unlike anything else that had come before it. Braxton was able to fuse jazz's visceral components with contemporary classical music's formal and harmonic methods in an utterly unselfconscious ó and therefore convincing ó way. The best of his work is on a level with any art music of the late 20th century, jazz or classical.","June 4, 1945",,"Chicago, IL","Free Jazz, Avant-Garde Jazz, Experimental Big Band, Avant-Garde,  Structured Improvisation, Creative Orchestra, Jazz Instrument, Saxophone Jazz, Classical",http://image.allmusic.com/00/amg/pic200/drp000/p045/p04566e8u5c.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kifyxqt5ldhe~T1
Clifford Brown,"Clifford Brown's death in a car accident at the age of 25 was one of the great tragedies in jazz history. Already ranking with Dizzy Gillespie and Miles Davis as one of the top trumpeters in jazz, Brownie was still improving in 1956. Plus he was a clean liver and was not even driving; the up-and-coming pianist Richie Powell and his wife (who was driving) also perished in the crash.","October 30, 1930","June 26, 1956","Wilmington, DE","Bop, Hard Bop, Jazz Instrument, Trumpet Jazz",http://image.allmusic.com/00/amg/pic200/drp500/p539/p53903csnvg.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:jifixqt5ldhe~T1
"Oscar Brown, Jr.","Although rooted in jazz, singer, poet, and activist Oscar Brown, Jr. defied musical categorization throughout his long and eclectic career -- a forerunner of the political consciousness that would become predominant in soul, funk, and hip-hop in the decades to follow, his efforts to exact social change spread across the arts and even into government, spurring two unsuccessful but memorable campaigns for office. Born on Chicago's South Side on October 10, 1926, Brown was the son of a successful attorney and property broker who wanted his firstborn someday to assume control of the family business; instead, Brown was drawn to writing and performing, and by 15 was a regular on writer Studs Terkel's radio program Secret City. After skipping two grades, he entered the University of Wisconsin at 16, but finding the world of academia little to his liking, Brown returned to broadcasting, and in 1944 was tapped to host Negro Newsfront, the nation's first black news radio broadcast. Dubbed ""America's first Negro newscaster,"" he relinquished the gig in 1948 to run for the Illinois state legislature on the Progressive Party ticket -- he did not win, and spent the remainder of the decade working on writer/producer Richard Durham's Black Radio Days series, followed by a two-year stint in the U.S. Army. ","October 10, 1926","May 29, 2005","Chicago, IL","Jazz, Vocal Jazz, Early R&B, R&B, Spoken Word,  Beat Poetry, Comedy/Spoken",http://image.allmusic.com/00/amg/pic200/drp100/p112/p11209tdsis.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:3pfrxqt5ldje~T1
