"id","headline","datatype","forebear","timetype","editstatus","maplvllo","maplvlhi","timelvllo","timelvlhi","maptype","st_npoints","geometrytype"
"13816","Arzawa","2","13816","3","3","14","18","5","6","2","23","POLYGON"
"13636","Assyria","2","13576","3","3","14","18","5","6","2","48","POLYGON"
"13643","Assyria","2","13576","3","3","14","18","5","6","2","50","POLYGON"
"13626","Assyria","2","13576","3","3","14","18","5","6","2","36","POLYGON"
"13748","Assyria","2","13576","3","3","14","18","5","6","2","43","POLYGON"
"13649","Assyria","2","13576","3","3","14","18","5","6","2","40","POLYGON"
"13817","Assyria","2","13576","3","3","14","18","5","6","2","42","POLYGON"
"13614","Assyria","2","13576","3","3","14","18","5","6","2","19","POLYGON"
"13576","Assyria","2","13576","3","3","14","18","5","6","2","1","POINT"
"13771","Assyria","2","13576","3","3","14","18","5","6","2","37","POLYGON"
"13631","Assyria","2","13576","3","3","14","18","5","6","2","38","POLYGON"
"13684","Assyria","2","13576","3","3","14","18","5","6","2","44","POLYGON"
"13619","Assyria","2","13576","3","3","14","18","5","6","2","23","POLYGON"
"13700","Assyria","2","13576","3","3","14","18","5","6","2","42","POLYGON"
"13737","Assyria","2","13576","3","3","14","18","5","6","2","43","POLYGON"
"13587","Assyria","2","13576","3","3","14","18","5","6","2","14","POLYGON"
"13762","Assyria","2","13576","3","3","14","18","5","6","2","55","POLYGON"
"13623","Assyria","2","13576","3","3","14","18","5","6","2","36","POLYGON"
"13758","Assyria","2","13576","3","3","14","18","5","6","2","59","POLYGON"
"13709","Assyria","2","13576","3","3","14","18","5","6","2","43","POLYGON"
"14475","Assyria","2","13576","3","3","14","18","5","6","2","37","POLYGON"
"13341","Elamites","2","13336","3","3","14","18","5","6","2","12","POLYGON"
"13336","Elamites","2","13336","3","3","14","18","5","6","2","1","POINT"
"13688","Elamites","2","13336","3","3","14","18","5","6","2","30","POLYGON"
"13354","Elamites","2","13336","3","3","14","18","5","6","2","19","POLYGON"
"13391","Elamites invade Sumeria","2","13336","3","3","14","18","5","6","2","40","POLYGON"
"14473","Guti","2","14440","3","3","14","18","5","6","2","12","POLYGON"
"13339","Guti","2","14440","3","3","14","18","5","6","2","12","POLYGON"
"14440","Guti","2","14440","3","3","14","18","5","6","2","1","POINT"
"13374","Guti","2","14440","3","3","14","18","5","6","2","21","POLYGON"
"13666","Hittites","2","13416","3","3","14","18","5","6","2","74","POLYGON"
"13682","Hittites","2","13416","3","3","14","18","5","6","2","40","POLYGON"
"13571","Hittites","2","13416","3","3","14","18","5","6","2","69","POLYGON"
"13606","Hittites","2","13416","3","3","14","18","5","6","2","56","POLYGON"
